,dock_id,dock_name,_lat,_long
450476,321,Cadman Plaza E & Red Cross Pl,40.699918,-73.98971800000001
454612,322,Clinton St & Tillary St,40.696191999999996,-73.991218
458748,323,Lawrence St & Willoughby St,40.692362,-73.986317
462884,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013
467020,325,E 19 St & 3 Ave,40.736245000000004,-73.98473800000001
471156,326,E 11 St & 1 Ave,40.729538,-73.984267
475292,327,Vesey Pl & River Terrace,40.715338,-74.016584
479428,328,Watts St & Greenwich St,40.724055,-74.00966
483564,329,Greenwich St & N Moore St,40.720434000000004,-74.01020600000001
487700,330,Reade St & Broadway,40.714504999999996,-74.005628
491836,331,Pike St & Monroe St,40.711731,-73.99193000000001
495972,332,Cherry St,40.712199,-73.979481
500108,334,W 20 St & 7 Ave,40.742388,-73.997262
504244,335,Washington Pl & Broadway,40.729039,-73.994046
508380,336,Sullivan St & Washington Sq,40.730477,-73.999061
512516,337,Old Slip & Front St,40.703799,-74.008387
516652,339,Avenue D & E 12 St,40.725806,-73.974225
520788,340,Madison St & Clinton St,40.71269,-73.987763
524924,341,Stanton St & Mangin St,40.717821,-73.97628900000001
529060,342,Columbia St & Rivington St,40.7174,-73.980166
533196,343,Clinton Ave & Flushing Ave,40.69794,-73.969868
537332,344,Monroe St & Bedford Ave,40.685144,-73.95380899999999
541468,345,W 13 St & 6 Ave,40.736494,-73.99704399999999
545604,346,Bank St & Hudson St,40.736529,-74.00618
549740,347,W Houston St & Hudson St,40.728739000000004,-74.007488
553876,348,W Broadway & Spring St,40.724909999999994,-74.001547
558012,349,Rivington St & Ridge St,40.718502,-73.983299
562148,350,Clinton St & Grand St,40.715595,-73.98703
566284,351,Front St & Maiden Ln,40.70531,-74.006126
570420,352,W 56 St & 6 Ave,40.763405999999996,-73.977225
574556,353,S Portland Ave & Hanson Pl,40.685396000000004,-73.974315
578692,354,Emerson Pl & Myrtle Ave,40.693630999999996,-73.962236
582828,355,Bayard St & Baxter St,40.716021000000005,-73.99974399999999
586964,356,Bialystoker Pl & Delancey St,40.716226,-73.982612
591100,357,E 11 St & Broadway,40.732618,-73.99158
595236,358,Christopher St & Greenwich St,40.732915999999996,-74.007114
599372,359,E 47 St & Park Ave,40.755103000000005,-73.974987
603508,360,William St & Pine St,40.707179,-74.008873
607644,361,Allen St & Hester St,40.716059,-73.991908
611780,362,Broadway & W 37 St,40.751726,-73.987535
615916,363,West Thames St,40.708346999999996,-74.017134
620052,364,Lafayette Ave & Classon Ave,40.689004,-73.960239
624188,365,Fulton St & Grand Ave,40.682232,-73.961458
628324,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896
632460,367,E 53 St & Lexington Ave,40.758281,-73.970694
636596,368,Carmine St & 6 Ave,40.730385999999996,-74.00215
640732,369,Washington Pl & 6 Ave,40.732240999999995,-74.000264
644868,372,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089
649004,373,Willoughby Ave & Walworth St,40.693317,-73.95382
653140,375,Mercer St & Bleecker St,40.726795,-73.996951
657276,376,John St & William St,40.708621,-74.007222
661412,377,6 Ave & Canal St,40.722438000000004,-74.005664
665548,379,W 31 St & 7 Ave,40.749156,-73.9916
669684,380,W 4 St & 7 Ave S,40.734010999999995,-74.002939
673820,382,University Pl & E 14 St,40.734927,-73.992005
677956,383,Greenwich Ave & Charles St,40.735238,-74.000271
686054,385,E 55 St & 2 Ave,40.757973,-73.966033
690190,386,Centre St & Worth St,40.714948,-74.00234499999999
694326,387,Centre St & Chambers St,40.712733,-74.004607
698462,388,W 26 St & 10 Ave,40.749718,-74.00295
702598,389,Broadway & Berry St,40.710446000000005,-73.965251
706734,390,Duffield St & Willoughby St,40.692215999999995,-73.984284
710870,391,Clark St & Henry St,40.697601,-73.99344599999999
715006,392,Jay St & Tech Pl,40.695065,-73.987167
719142,393,E 5 St & Avenue C,40.722992,-73.979955
